Inverses and integers in base SQRT5
(1/1)base SQRT5   00001.000000000000000000000000000000000001, diff = -2.62234678416462e-13
(1/2)base SQRT5   00000.100101101110100010101001000102000120, diff = -1.2601031329495527e-13
(1/3)base SQRT5   00000.011100100020020002001020001111101110, diff = -3.785860513971784e-14
(1/4)base SQRT5   00000.010101010101010101010101010101010110, diff = -2.5857094243519896e-13
(1/5)base SQRT5   00000.010000000000000000000000000000000001, diff = -2.6212365611399946e-13
(1/6)base SQRT5   00000.001120002000010100111120001010100012, diff = -2.169375790117556e-13
(1/7)base SQRT5   00000.001101110011100001200011020011111120, diff = -2.378930386015554e-13
(1/8)base SQRT5   00000.001012010001000112000002000000110000, diff = -2.248201624865942e-15
(1/9)base SQRT5   00000.001010100010200011010101200102000010, diff = -2.8449465006019636e-15
(1/10)base SQRT5  00000.001001011011101000101010010001020010, diff = -1.1475542738281774e-13
(1/11)base SQRT5  00000.001000002000101001112001111101111200, diff = -5.2638449155040234e-14
(1/12)base SQRT5  00000.000200020002000200020002000200020010, diff = -4.000966224992908e-14
(1/13)base SQRT5  00000.000120001101110120011101111200011101, diff = -1.9433066267282584e-13
(1/14)base SQRT5  00000.000111110100110001111001200110011001, diff = -3.4555691641457997e-15
(1/15)base SQRT5  00000.000111001000200200020010200011111020, diff = -2.1434243269169428e-13
(1/16)base SQRT5  00000.000110101020100101101100000001011110, diff = -2.1230239788394556e-13
(1/17)base SQRT5  00000.000110001011002001110200101111101101, diff = -1.8096635301390052e-13
(1/18)base SQRT5  00000.000101200101010101100111111111201000, diff = -2.0228263508670352e-13
(1/19)base SQRT5  00000.000101101100010200111110012002002002, diff = -2.3545054794738007e-13
(1/20)base SQRT5  00000.000101010101010101010101010101010110, diff = -2.5847379792054426e-13
(1/21)base SQRT5  00000.000100200110000001000010001101101020, diff = -1.6898982213575664e-13
(1/22)base SQRT5  00000.000100110012001000000000200200100001, diff = -2.0679985501814713e-13
(1/23)base SQRT5  00000.000100020012001010101002000200200100, diff = -1.5403650577283656e-13
(1/24)base SQRT5  00000.000100010001000100010001000100010002, diff = -2.512087760031534e-13
(1/25)base SQRT5  00000.000100000000000000000000000000000001, diff = -2.6213753390180727e-13
(1/26)base SQRT5  00000.000020011100111011010000200011120010, diff = -1.5788759188950507e-13
(1/27)base SQRT5  00000.000020001111010111101001120010101110, diff = -9.747064266818484e-14
(1/28)base SQRT5  00000.000012010011011000010001110001200011, diff = -2.067720994425315e-13
(1/29)base SQRT5  00000.000012000112000101000111001200110000, diff = -4.835021272242557e-14
(1/30)base SQRT5  00000.000011200020000101001111200010101001, diff = -8.344019919448442e-14
(1/31)base SQRT5  00000.000011111110010000110110002010011020, diff = -1.672273430841642e-13
(1/32)base SQRT5  00000.000011110010102001001010020011200000, diff = -6.943751129639963e-14
(1/33)base SQRT5  00000.000011101001120100120100000001011010, diff = -7.913461552710999e-14
(1/34)base SQRT5  00000.000011020100000101011000001120100000, diff = -1.827635265350125e-13
(1/35)base SQRT5  00000.000011011100111000012000110200111120, diff = -1.3714029911682246e-13
(1/36)base SQRT5  00000.000011010020000100120100110200111010, diff = -9.322750904594557e-14
(1/37)base SQRT5  00000.000011001101101111111000011102000002, diff = -2.0083934515469082e-13
(1/38)base SQRT5  00000.000011000101110011011020001110000011, diff = -8.880743362915666e-14
(1/39)base SQRT5  00000.000010200112001000100000102002001111, diff = -4.282338372796346e-14
(1/40)base SQRT5  00000.000010120100010001120000020000001100, diff = -4.544975507059235e-16

integers
(1)base   SQRT5   00001.000000000000000000000000000000000001, diff = -2.62234678416462e-13
(2)base   SQRT5   00002.000000000000000000000000000000000001, diff = -2.6201263381153694e-13
(3)base   SQRT5   00010.111011001200100100120001110011200110, diff = -2.424727085781342e-13
(4)base   SQRT5   00011.111011001200100100120001110011200110, diff = -2.424727085781342e-13
(5)base   SQRT5   00100.000000000000000000000000000000000000, diff = -8.881784197001252e-16
(6)base   SQRT5   00101.000000000000000000000000000000000000, diff = -8.881784197001252e-16
(7)base   SQRT5   00102.000000000000000000000000000000000000, diff = -8.881784197001252e-16
(8)base   SQRT5   00110.111011001200100100120001110011200110, diff = -2.433608869978343e-13
(9)base   SQRT5   00111.111011001200100100120001110011200110, diff = -2.4158453015843406e-13
(10)base   SQRT5  00200.000000000000000000000000000000000000, diff = -1.7763568394002505e-15
(11)base   SQRT5  00201.000000000000000000000000000000000000, diff = -1.7763568394002505e-15
(12)base   SQRT5  01000.111200011200111002001120011201002000, diff = -2.433608869978343e-13
(13)base   SQRT5  01001.111200011200111002001120011201002000, diff = -2.433608869978343e-13
(14)base   SQRT5  01010.101100120010010012000111001120010110, diff = -1.794120407794253e-13
(15)base   SQRT5  01011.101100120010010012000111001120010110, diff = -1.794120407794253e-13
(16)base   SQRT5  01020.011110000010111100001111001200001001, diff = -4.973799150320701e-14
(17)base   SQRT5  01100.111200011200111002001120011201002000, diff = -2.4158453015843406e-13
