Inverses and integers in base Phi^4
(1/1)base Phi^4   00001.00000000000000000005!7, diff = 0
(1/2)base Phi^4   00000.32622622622622622615!7, diff = 0
(1/3)base Phi^4   00000.21633611633611633611!7, diff = 0
(1/4)base Phi^4   00000.14604604604604604611!7, diff = 0
(1/5)base Phi^4   00000.123460234602346023454!7, diff = 0
(1/6)base Phi^4   00000.106446006446006446024!7, diff = 0
(1/7)base Phi^4   00000.064565456545654565504!7, diff = 0
(1/8)base Phi^4   00000.055645645645645646004!7, diff = 0
(1/9)base Phi^4   00000.051331465504224055632!7, diff = 0
(1/10)base Phi^4  00000.044523412301155634522!7, diff = 0
(1/11)base Phi^4  00000.041556315563155631562!7, diff = 0
(1/12)base Phi^4  00000.03615562615562615561!7, diff = 0
(1/13)base Phi^4  00000.034125562412556241312!7, diff = 0
(1/14)base Phi^4  00000.032265523255622265522!7, diff = 0
(1/15)base Phi^4  00000.030612253144506401142!7, diff = 0
(1/16)base Phi^4  00000.026255616255616255622!7, diff = 0
(1/17)base Phi^4  00000.025140355615140355621!7, diff = 0
(1/18)base Phi^4  00000.024114165531441355613!7, diff = 0
(1/19)base Phi^4  00000.023142355613142355616!7, diff = 0
(1/20)base Phi^4  00000.022244501133355612243!7, diff = 0
(1/21)base Phi^4  00000.021416314355611416316!7, diff = 0
(1/22)base Phi^4  00000.020623142264355610623!7, diff = 0
(1/23)base Phi^4  00000.020165535355610165541!7, diff = 0
(1/24)base Phi^4  00000.016355606355606355613!7, diff = 0
(1/25)base Phi^4  00000.016011302224133352453!7, diff = 0
(1/26)base Phi^4  00000.015342264140623120461!7, diff = 0
(1/27)base Phi^4  00000.015032341365005631436!7, diff = 0
(1/28)base Phi^4  00000.014426211455604426211!7, diff = 0
(1/29)base Phi^4  00000.014145560414556041456!7, diff = 0
(1/30)base Phi^4  00000.013601125022236133353!7, diff = 0
(1/31)base Phi^4  00000.013343142122455603341!7, diff = 0
(1/32)base Phi^4  00000.013126242455603126243!7, diff = 0
(1/33)base Phi^4  00000.0126121041430163521434!7, diff = 0
(1/34)base Phi^4  00000.0124134556024134556034!7, diff = 0
(1/35)base Phi^4  00000.0122234446011233345614!7, diff = 0
(1/36)base Phi^4  00000.0120414262141534556014!7, diff = 0
(1/37)base Phi^4  00000.0115540241351004455614!7, diff = 0
(1/38)base Phi^4  00000.0114144556014144556014!7, diff = 0
(1/39)base Phi^4  00000.0112511645204142542414!7, diff = 0
(1/40)base Phi^4  00000.0111222333444556011244!7, diff = 0

integers
(1)base   Phi^4   00001.00000000000000000005!7, diff = 0
(2)base   Phi^4   00002.0000000000000000001!7, diff = 0
(3)base   Phi^4   00003.0000000000000000001!7, diff = 0
(4)base   Phi^4   00004.0000000000000000003!7, diff = 0
(5)base   Phi^4   00005.0000000000000000003!7, diff = 0
(6)base   Phi^4   00006.0000000000000000003!7, diff = 0
(7)base   Phi^4   00010.1000000000000000003!7, diff = 0
(8)base   Phi^4   00011.1000000000000000006!7, diff = 0
(9)base   Phi^4   00012.1000000000000000006!7, diff = 0
(10)base   Phi^4  00013.1000000000000000006!7, diff = 0
(11)base   Phi^4  00014.1000000000000000006!7, diff = 0
(12)base   Phi^4  00015.1000000000000000006!7, diff = 0
(13)base   Phi^4  00016.1000000000000000006!7, diff = 0
(14)base   Phi^4  00020.2000000000000000006!7, diff = 0
(15)base   Phi^4  00021.2000000000000000006!7, diff = 0
(16)base   Phi^4  00022.200000000000000001!7, diff = 0
(17)base   Phi^4  00023.200000000000000001!7, diff = 0
(18)base   Phi^4  00024.200000000000000001!7, diff = 0
(19)base   Phi^4  00025.200000000000000001!7, diff = 0
(20)base   Phi^4  00026.200000000000000001!7, diff = 0
(21)base   Phi^4  00030.300000000000000001!7, diff = 0
(22)base   Phi^4  00031.300000000000000001!7, diff = 0
(23)base   Phi^4  00032.300000000000000001!7, diff = 0
