Inverses and integers in base 7dot9
(1/1)base 7dot9   00001.000000000000000001!8, diff = 0
(1/2)base 7dot9   00000.3737634526140231746!8, diff = 0
(1/3)base 7dot9   00000.250015051456476441!8, diff = 0
(1/4)base 7dot9   00000.1754254626366730146!8, diff = 0
(1/5)base 7dot9   00000.1444554560305300061!8, diff = 0
(1/6)base 7dot9   00000.1237463163050057621!8, diff = 0
(1/7)base 7dot9   00000.1100757124254050001!8, diff = 0
(1/8)base 7dot9   00000.0762461571254643633!8, diff = 0
(1/9)base 7dot9   00000.06730112336033063026!8, diff = 0
(1/10)base 7dot9  00000.06171070072331133506!8, diff = 0
(1/11)base 7dot9  00000.05524214646641536376!8, diff = 0
(1/12)base 7dot9  00000.05145004211527066076!8, diff = 0
(1/13)base 7dot9  00000.04624425744125707176!8, diff = 0
(1/14)base 7dot9  00000.04346714456327244706!8, diff = 0
(1/15)base 7dot9  00000.04121002332036436276!8, diff = 0
(1/16)base 7dot9  00000.03707127150762105266!8, diff = 0
(1/17)base 7dot9  00000.03523041015430410073!8, diff = 0
(1/18)base 7dot9  00000.03353475043571105243!8, diff = 0
(1/19)base 7dot9  00000.0321752053705461515!8, diff = 0
(1/20)base 7dot9  00000.0307406732665604035!8, diff = 0
(1/21)base 7dot9  00000.02752634475201135773!8, diff = 0
(1/22)base 7dot9  00000.02646410632223321773!8, diff = 0
(1/23)base 7dot9  00000.02550157652335102113!8, diff = 0
(1/24)base 7dot9  00000.0245670126472335631!8, diff = 0
(1/25)base 7dot9  00000.0237215367220614251!8, diff = 0
(1/26)base 7dot9  00000.02312212756354706243!8, diff = 0
(1/27)base 7dot9  00000.02235032141305312603!8, diff = 0
(1/28)base 7dot9  00000.0216303616555634345!8, diff = 0
(1/29)base 7dot9  00000.02114520361726162023!8, diff = 0
(1/30)base 7dot9  00000.02050065447165410553!8, diff = 0
(1/31)base 7dot9  00000.02006407115335515603!8, diff = 0
(1/32)base 7dot9  00000.01740043353503343106!8, diff = 0
(1/33)base 7dot9  00000.01702414721305723707!8, diff = 0
(1/34)base 7dot9  00000.01645717501647376254!8, diff = 0
(1/35)base 7dot9  00000.01613600166202067334!8, diff = 0
(1/36)base 7dot9  00000.01562175000675646327!8, diff = 0
(1/37)base 7dot9  00000.01532654043041132647!8, diff = 0
(1/38)base 7dot9  00000.01504516611561551371!8, diff = 0
(1/39)base 7dot9  00000.01456631070311202054!8, diff = 0
(1/40)base 7dot9  00000.01432676475017466464!8, diff = 0

integers
(1)base   7dot9   00001.000000000000000001!8, diff = 0
(2)base   7dot9   00002.000000000000000003!8, diff = 0
(3)base   7dot9   00003.000000000000000003!8, diff = 0
(4)base   7dot9   00004.000000000000000006!8, diff = 0
(5)base   7dot9   00005.000000000000000006!8, diff = 0
(6)base   7dot9   00006.000000000000000006!8, diff = 0
(7)base   7dot9   00007.000000000000000006!8, diff = 0
(8)base   7dot9   00010.06171070072331133!8, diff = 0
(9)base   7dot9   00011.06171070072331134!8, diff = 0
(10)base   7dot9  00012.06171070072331134!8, diff = 0
(11)base   7dot9  00013.06171070072331134!8, diff = 0
(12)base   7dot9  00014.06171070072331134!8, diff = 0
(13)base   7dot9  00015.06171070072331134!8, diff = 0
(14)base   7dot9  00016.06171070072331134!8, diff = 0
(15)base   7dot9  00017.06171070072331134!8, diff = 0
(16)base   7dot9  00020.14445545603053003!8, diff = 0
(17)base   7dot9  00021.14445545603052763!8, diff = 0
(18)base   7dot9  00022.14445545603052763!8, diff = 0
(19)base   7dot9  00023.14445545603052763!8, diff = 0
(20)base   7dot9  00024.14445545603052763!8, diff = 0
(21)base   7dot9  00025.14445545603052763!8, diff = 0
(22)base   7dot9  00026.14445545603052763!8, diff = 0
