Inverses and integers in base Phi^5
(68)base   Phi^5  00061.50b0b100000003!c, diff = 0
(69)base   Phi^5  00062.50b0b100000003!c, diff = 0
(70)base   Phi^5  00063.50b0b100000003!c, diff = 0
(71)base   Phi^5  00064.50b0b100000003!c, diff = 0
(72)base   Phi^5  00065.50b0b100000003!c, diff = 0
(73)base   Phi^5  00066.50b0b100000003!c, diff = 0
(74)base   Phi^5  00067.50b0b100000003!c, diff = 0
(75)base   Phi^5  00068.50b0b100000003!c, diff = 0
...
(181493)base   Phi^5  bb083.3010a100004!c, diff = 0
(181494)base   Phi^5  bb084.3010a100004!c, diff = 0
(181495)base   Phi^5  bb085.3010a100004!c, diff = 0
(181496)base   Phi^5  bb086.3010a100004!c, diff = 0
(181497)base   Phi^5  bb087.3010a100004!c, diff = 0
(181498)base   Phi^5  bb088.3010a100004!c, diff = 0
(181499)base   Phi^5  bb089.3010a100004!c, diff = 0
(181500)base   Phi^5  bb08a.3010a100004!c, diff = 0
(181501)base   Phi^5  bb090.2010a100004!c, diff = 0
(181502)base   Phi^5  bb091.2010a100004!c, diff = 0
(181503)base   Phi^5  bb092.2010a100004!c, diff = 0
(181504)base   Phi^5  bb093.2010a100004!c, diff = 0
(181505)base   Phi^5  bb094.2010a100004!c, diff = 0
(181506)base   Phi^5  bb095.2010a100004!c, diff = 0
(181507)base   Phi^5  bb096.2010a100004!c, diff = 0
(181508)base   Phi^5  bb097.2010a100004!c, diff = 0
(181509)base   Phi^5  bb098.2010a100004!c, diff = 0
(181510)base   Phi^5  bb099.2010a100004!c, diff = 0
(181511)base   Phi^5  bb09a.2010a100004!c, diff = 0
(181512)base   Phi^5  bb0a0.1010a100004!c, diff = 0
(181513)base   Phi^5  bb0a1.1010a100004!c, diff = 0
(181514)base   Phi^5  bb0a2.1010a100004!c, diff = 0
(181515)base   Phi^5  bb0a3.1010a100004!c, diff = 0
(181516)base   Phi^5  bb0a4.1010a100004!c, diff = 0
(181517)base   Phi^5  bb0a5.1010a100004!c, diff = 0
(181518)base   Phi^5  bb0a6.1010a100004!c, diff = 0
(181519)base   Phi^5  bb0a7.1010a100004!c, diff = 0
(181520)base   Phi^5  bb0a8.1010a100004!c, diff = 0
(181521)base   Phi^5  bb0a9.1010a100004!c, diff = 0
(181522)base   Phi^5  bb0aa.1010a100004!c, diff = 0
(181523)base   Phi^5  bb0b0.0010a100004!c, diff = 0
(181524)base   Phi^5  !c0000.0010a100004!c, diff = 0
(181525)base   Phi^5  !c0001.0010a100004!c, diff = 0
(181526)base   Phi^5  !c0002.0010a100004!c, diff = 0
(181527)base   Phi^5  !c0003.0010a100004!c, diff = 0
(181528)base   Phi^5  !c0004.0010a100004!c, diff = 0
(181529)base   Phi^5  !c0005.0010a100004!c, diff = 0
(181530)base   Phi^5  !c0006.0010a100004!c, diff = 0
(181531)base   Phi^5  !c0007.0010a100004!c, diff = 0
(181532)base   Phi^5  !c0008.0010a100004!c, diff = 0
(181533)base   Phi^5  !c0009.0010a100004!c, diff = 0
Base Phi^5 encoding for Phi    00001.6952695269526945!c, diff = 0
Base Phi^5 encoding for Phi^2  00002.695269526952695b!c, diff = 0
Base Phi^5 encoding for Phi^3  00004.269526952695272!c, diff = 0
Base Phi^5 encoding for Phi^4  00006.952695269526956!c, diff = 0
Base Phi^5 encoding for Phi^5  00010.000000000000004!c, diff = 0
Base Phi^5 encoding for Phi^6  00016.952695269526958!c, diff = 0
Base Phi^5 encoding for E      00002.7a799a189916399b!c, diff = 0
Base Phi^5 encoding for E^2    00007.43549135043862a!c, diff = 0
Base Phi^5 encoding for E^E    00014.079885a344060a!c, diff = 0
Base Phi^5 encoding for PI     00003.1636722a4042541b!c, diff = 0
Base Phi^5 encoding for SQRT2  00001.4665352b0a7a3515!c, diff = 0
Base Phi^5 encoding for SQRT3  00001.8135517249401525!c, diff = 0
Base Phi^5 encoding for SQRT5  00002.269526952695273b!c, diff = 0
Base Phi^5 encoding for SQRT6  00002.4aa26826944a667b!c, diff = 0
Base Phi^5 encoding for 5dot9  00005.9a98627a7616842!c, diff = 0
Base Phi^5 encoding for 6dot9  00006.9a98627a7616842!c, diff = 0
Base Phi^5 encoding for m235   00002.7459b0594424a31b!c, diff = 0
Base Phi^5 encoding for Geo2   00001.2332731560351815!c, diff = 0
Base Phi^5 encoding for Geo-2  00004.92096a5b0a38596!c, diff = 0
Base Phi^5 encoding for Geo3   00001.4073264124761275!c, diff = 0
Base Phi^5 encoding for Geo-3  00002.813551724940155b!c, diff = 0
Base Phi^5 encoding for Geo7   00001.9144312b0a356275!c, diff = 0
Base Phi^5 encoding for Geo-7  00001.2432952377603905!c, diff = 0
Base Phi^5 encoding for 7dot9  00007.9a98627a7616842!c, diff = 0
