Inverses and integers in base 6dot9
(1/1)base 6dot9   00001.00000000000000000006!7, diff = 0
(1/2)base 6dot9   00000.33046610633655055163!7, diff = 0
(1/3)base 6dot9   00000.22032201612101561054!7, diff = 0
(1/4)base 6dot9   00000.15000544100104130143!7, diff = 0
(1/5)base 6dot9   00000.124200425433241400645!7, diff = 0
(1/6)base 6dot9   00000.110144056346314463445!7, diff = 0
(1/7)base 6dot9   00000.065343423433406561525!7, diff = 0
(1/8)base 6dot9   00000.056360624455350212505!7, diff = 0
(1/9)base 6dot9   00000.052000215533306141152!7, diff = 0
(1/10)base 6dot9  00000.045150210443041252332!7, diff = 0
(1/11)base 6dot9  00000.042154516402650643062!7, diff = 0
(1/12)base 6dot9  00000.036443635461116222122!7, diff = 0
(1/13)base 6dot9  00000.034362656435552161312!7, diff = 0
(1/14)base 6dot9  00000.032516221220202204552!7, diff = 0
(1/15)base 6dot9  00000.031124323651465010002!7, diff = 0
(1/16)base 6dot9  00000.026502231230530350422!7, diff = 0
(1/17)base 6dot9  00000.025341501054111055431!7, diff = 0
(1/18)base 6dot9  00000.02430510601515124443!7, diff = 0
(1/19)base 6dot9  00000.023324213454533326201!7, diff = 0
(1/20)base 6dot9  00000.022421135622042235141!7, diff = 0
(1/21)base 6dot9  00000.021554320023022112241!7, diff = 0
(1/22)base 6dot9  00000.021062015344623321324!7, diff = 0
(1/23)base 6dot9  00000.020322016121015610644!7, diff = 0
(1/24)base 6dot9  00000.016530033416000644424!7, diff = 0
(1/25)base 6dot9  00000.01614351136316243511!7, diff = 0
(1/26)base 6dot9  00000.015503245525631126564!7, diff = 0
(1/27)base 6dot9  00000.015155410245321032564!7, diff = 0
(1/28)base 6dot9  00000.014550623264113464531!7, diff = 0
(1/29)base 6dot9  00000.01426363501050636463!7, diff = 0
(1/30)base 6dot9  00000.01402246600031144406!7, diff = 0
(1/31)base 6dot9  00000.01345402316014216521!7, diff = 0
(1/32)base 6dot9  00000.013234164055161406512!7, diff = 0
(1/33)base 6dot9  00000.0130241300505062603464!7, diff = 0
(1/34)base 6dot9  00000.0125152431111545552324!7, diff = 0
(1/35)base 6dot9  00000.0123230051505061511634!7, diff = 0
(1/36)base 6dot9  00000.0121354504231224356454!7, diff = 0
(1/37)base 6dot9  00000.0116512146506121362634!7, diff = 0
(1/38)base 6dot9  00000.0115064453434614002454!7, diff = 0
(1/39)base 6dot9  00000.0113413213200326512224!7, diff = 0
(1/40)base 6dot9  00000.0112104140123055424234!7, diff = 0

integers
(1)base   6dot9   00001.00000000000000000006!7, diff = 0
(2)base   6dot9   00002.0000000000000000001!7, diff = 0
(3)base   6dot9   00003.0000000000000000001!7, diff = 0
(4)base   6dot9   00004.0000000000000000003!7, diff = 0
(5)base   6dot9   00005.0000000000000000003!7, diff = 0
(6)base   6dot9   00006.0000000000000000003!7, diff = 0
(7)base   6dot9   00010.0451502104430412533!7, diff = 0
(8)base   6dot9   00011.045150210443041254!7, diff = 0
(9)base   6dot9   00012.045150210443041251!7, diff = 0
(10)base   6dot9  00013.045150210443041251!7, diff = 0
(11)base   6dot9  00014.045150210443041251!7, diff = 0
(12)base   6dot9  00015.045150210443041251!7, diff = 0
(13)base   6dot9  00016.045150210443041251!7, diff = 0
(14)base   6dot9  00020.124200425433241401!7, diff = 0
(15)base   6dot9  00021.124200425433241401!7, diff = 0
(16)base   6dot9  00022.124200425433241402!7, diff = 0
(17)base   6dot9  00023.124200425433241366!7, diff = 0
(18)base   6dot9  00024.124200425433241366!7, diff = 0
(19)base   6dot9  00025.124200425433241366!7, diff = 0
(20)base   6dot9  00026.124200425433241366!7, diff = 0
(21)base   6dot9  00030.203220161210156102!7, diff = 0
(22)base   6dot9  00031.203220161210156102!7, diff = 0
(23)base   6dot9  00032.203220161210156102!7, diff = 0
(24)base   6dot9  00033.203220161210156102!7, diff = 0
(25)base   6dot9  00034.203220161210156102!7, diff = 0
(26)base   6dot9  00035.203220161210156102!7, diff = 0
(27)base   6dot9  00036.203220161210156102!7, diff = 0
(28)base   6dot9  00040.251446343156360232!7, diff = 0
(29)base   6dot9  00041.251446343156360232!7, diff = 0
(30)base   6dot9  00042.251446343156360232!7, diff = 0
(31)base   6dot9  00043.251446343156360232!7, diff = 0
(32)base   6dot9  00044.251446343156360234!7, diff = 0
(33)base   6dot9  00045.251446343156360234!7, diff = 0
(34)base   6dot9  00046.251446343156360234!7, diff = 0
(35)base   6dot9  00050.330466106336550604!7, diff = 0
(36)base   6dot9  00051.330466106336550604!7, diff = 0
(37)base   6dot9  00052.330466106336550604!7, diff = 0
(38)base   6dot9  00053.330466106336550604!7, diff = 0
(39)base   6dot9  00054.330466106336550604!7, diff = 0
(40)base   6dot9  00055.330466106336550604!7, diff = 0
(41)base   6dot9  00056.330466106336550604!7, diff = 0
(42)base   6dot9  00060.406440353210543404!7, diff = 0
(43)base   6dot9  00061.406440353210543404!7, diff = 0
(44)base   6dot9  00062.406440353210543404!7, diff = 0
(45)base   6dot9  00063.406440353210543404!7, diff = 0
(46)base   6dot9  00064.406440353210543404!7, diff = 0
(47)base   6dot9  00065.406440353210543404!7, diff = 0
(48)base   6dot9  00100.245202554310013204!7, diff = 0
(49)base   6dot9  00101.245202554310013204!7, diff = 0
(50)base   6dot9  00102.245202554310013204!7, diff = 0
(51)base   6dot9  00103.245202554310013204!7, diff = 0
(52)base   6dot9  00104.245202554310013204!7, diff = 0
(53)base   6dot9  00105.245202554310013204!7, diff = 0
(54)base   6dot9  00106.245202554310013204!7, diff = 0
(55)base   6dot9  00110.324222320535354054!7, diff = 0
(56)base   6dot9  00111.324222320535354054!7, diff = 0
(57)base   6dot9  00112.324222320535354054!7, diff = 0
(58)base   6dot9  00113.324222320535354054!7, diff = 0
(59)base   6dot9  00114.324222320535354054!7, diff = 0
(60)base   6dot9  00115.324222320535354054!7, diff = 0
(61)base   6dot9  00116.324222320535354054!7, diff = 0
(62)base   6dot9  00120.403242053233252034!7, diff = 0
(63)base   6dot9  00121.403242053233252034!7, diff = 0
(64)base   6dot9  00122.40324205323325203!7, diff = 0
(65)base   6dot9  00123.40324205323325213!7, diff = 0
(66)base   6dot9  00124.40324205323325213!7, diff = 0
(67)base   6dot9  00125.40324205323325213!7, diff = 0
(68)base   6dot9  00126.40324205323325213!7, diff = 0
(69)base   6dot9  00130.45150210443041256!7, diff = 0
(70)base   6dot9  00131.45150210443041256!7, diff = 0
(71)base   6dot9  00132.45150210443041256!7, diff = 0
(72)base   6dot9  00133.45150210443041256!7, diff = 0
(73)base   6dot9  00134.45150210443041256!7, diff = 0
(74)base   6dot9  00135.45150210443041256!7, diff = 0
(75)base   6dot9  00136.45150210443041256!7, diff = 0
...
(15836)base   6dot9  66535.623605064316403!7, diff = 0
(15837)base   6dot9  66540.010526465430343!7, diff = 0
(15838)base   6dot9  66541.010526465430343!7, diff = 0
(15839)base   6dot9  66542.010526465430343!7, diff = 0
(15840)base   6dot9  66543.010526465430343!7, diff = 0
(15841)base   6dot9  66544.010526465430343!7, diff = 0
(15842)base   6dot9  66545.010526465430343!7, diff = 0
(15843)base   6dot9  66546.010526465430343!7, diff = 0
(15844)base   6dot9  66550.056015402221443!7, diff = 0
(15845)base   6dot9  66551.056015402221443!7, diff = 0
(15846)base   6dot9  66552.056015402221443!7, diff = 0
(15847)base   6dot9  66553.056015402221443!7, diff = 0
(15848)base   6dot9  66554.056015402221443!7, diff = 0
(15849)base   6dot9  66555.056015402221443!7, diff = 0
(15850)base   6dot9  66556.056015402221443!7, diff = 0
(15851)base   6dot9  66560.135035134611433!7, diff = 0
(15852)base   6dot9  66561.135035134611433!7, diff = 0
(15853)base   6dot9  66562.135035134611433!7, diff = 0
(15854)base   6dot9  66563.135035134611433!7, diff = 0
(15855)base   6dot9  66564.135035134611433!7, diff = 0
(15856)base   6dot9  66565.135035134611433!7, diff = 0
(15857)base   6dot9  66600.004252225044633!7, diff = 0
