Inverses and integers in base Phi^6
(65)base   Phi^6  0003b.300000000007!i, diff = 0
(66)base   Phi^6  0003c.300000000007!i, diff = 0
(67)base   Phi^6  0003d.300000000007!i, diff = 0
(68)base   Phi^6  0003e.300000000007!i, diff = 0
(69)base   Phi^6  0003f.300000000007!i, diff = 0
(70)base   Phi^6  0003g.300000000007!i, diff = 0
(71)base   Phi^6  0003h.300000000007!i, diff = 0
(72)base   Phi^6  00040.400000000007!i, diff = 0
(73)base   Phi^6  00041.400000000007!i, diff = 0
(74)base   Phi^6  00042.400000000007!i, diff = 0
(75)base   Phi^6  00043.400000000007!i, diff = 0
...
(1866245)base   Phi^6  hhgf3.fh000hgb!i, diff = 0
(1866246)base   Phi^6  hhgf4.fh000hgb!i, diff = 0
(1866247)base   Phi^6  hhgf5.fh000hgb!i, diff = 0
(1866248)base   Phi^6  hhgf6.fh000hgb!i, diff = 0
(1866249)base   Phi^6  hhgf7.fh000hgb!i, diff = 0
(1866250)base   Phi^6  hhgf8.fh000hgb!i, diff = 0
(1866251)base   Phi^6  hhgf9.fh000hgb!i, diff = 0
(1866252)base   Phi^6  hhgfa.fh000hgb!i, diff = 0
(1866253)base   Phi^6  hhgfb.fh000hgb!i, diff = 0
(1866254)base   Phi^6  hhgfc.fh000hgb!i, diff = 0
(1866255)base   Phi^6  hhgfd.fh000hgb!i, diff = 0
(1866256)base   Phi^6  hhgfe.fh000hgb!i, diff = 0
(1866257)base   Phi^6  hhgff.fh000hgb!i, diff = 0
(1866258)base   Phi^6  hhgfg.fh000hgb!i, diff = 0
(1866259)base   Phi^6  hhgfh.fh000hgb!i, diff = 0
(1866260)base   Phi^6  hhgg0.gh000hgb!i, diff = 0
(1866261)base   Phi^6  hhgg1.gh000hgb!i, diff = 0
(1866262)base   Phi^6  hhgg2.gh000hgb!i, diff = 0
(1866263)base   Phi^6  hhgg3.gh000hgb!i, diff = 0
(1866264)base   Phi^6  hhgg4.gh000hgb!i, diff = 0
(1866265)base   Phi^6  hhgg5.gh000hgb!i, diff = 0
(1866266)base   Phi^6  hhgg6.gh000hgb!i, diff = 0
(1866267)base   Phi^6  hhgg7.gh000hgb!i, diff = 0
(1866268)base   Phi^6  hhgg8.gh000hgb!i, diff = 0
(1866269)base   Phi^6  hhgg9.gh000hgb!i, diff = 0
(1866270)base   Phi^6  hhgga.gh000hgb!i, diff = 0
(1866271)base   Phi^6  hhggb.gh000hgb!i, diff = 0
(1866272)base   Phi^6  hhggc.gh000hgb!i, diff = 0
(1866273)base   Phi^6  hhggd.gh000hgb!i, diff = 0
(1866274)base   Phi^6  hhgge.gh000hgb!i, diff = 0
(1866275)base   Phi^6  hhggf.gh000hgb!i, diff = 0
(1866276)base   Phi^6  !i0000.00100hgd!i, diff = 0
(1866277)base   Phi^6  !i0001.00100hgd!i, diff = 0
(1866278)base   Phi^6  !i0002.00100hgd!i, diff = 0
(1866279)base   Phi^6  !i0003.00100hgd!i, diff = 0
(1866280)base   Phi^6  !i0004.00100hgd!i, diff = 0
(1866281)base   Phi^6  !i0005.00100hgd!i, diff = 0
(1866282)base   Phi^6  !i0006.00100hgd!i, diff = 0
(1866283)base   Phi^6  !i0007.00100hgd!i, diff = 0
(1866284)base   Phi^6  !i0008.00100hgd!i, diff = 0
(1866285)base   Phi^6  !i0009.00100hgd!i, diff = 0
Base Phi^6 encoding for Phi    00001.b1b1b1b1b1b16!i, diff = 0
Base Phi^6 encoding for Phi^2  00002.b1b1b1b1b1b0d!i, diff = 0
Base Phi^6 encoding for Phi^3  00004.4444444444448!i, diff = 0
Base Phi^6 encoding for Phi^4  00006.f5f5f5f5f5f78!i, diff = 0
Base Phi^6 encoding for Phi^5  0000b.1b1b1b1b1b1eh!i, diff = 0
Base Phi^6 encoding for Phi^6  00010.000000000001!i, diff = 0
Base Phi^6 encoding for E      00002.cfh1g055d1204!i, diff = 0
Base Phi^6 encoding for E^2    00007.6hagd065g0ce8!i, diff = 0
Base Phi^6 encoding for E^E    0000f.2de10c7ffbh2h!i, diff = 0
Base Phi^6 encoding for PI     00003.29cb58hbf5cg4!i, diff = 0
Base Phi^6 encoding for SQRT2  00001.77dd44f5cd9f2!i, diff = 0
Base Phi^6 encoding for SQRT3  00001.d27gfh9b0f842!i, diff = 0
Base Phi^6 encoding for SQRT5  00002.444444444444d!i, diff = 0
Base Phi^6 encoding for SQRT6  00002.81342hggb9abd!i, diff = 0
