Inverses and integers in base Geo-2
(61)base   Geo-2  00224.3204312213040000000103!5, diff = 0
(62)base   Geo-2  00230.4113403122130400000043!5, diff = 0
(63)base   Geo-2  00231.4113403122130400000043!5, diff = 0
(64)base   Geo-2  00232.411340312213040000011!5, diff = 0
(65)base   Geo-2  00233.411340312213040000031!5, diff = 0
(66)base   Geo-2  00240.011340312213040000021!5, diff = 0
(67)base   Geo-2  00241.011340312213040000021!5, diff = 0
(68)base   Geo-2  00242.011340312213040000021!5, diff = 0
(69)base   Geo-2  00243.011340312213040000021!5, diff = 0
(70)base   Geo-2  00300.011340312213040000031!5, diff = 0
(71)base   Geo-2  00301.011340312213040000031!5, diff = 0
(72)base   Geo-2  00302.011340312213040000031!5, diff = 0
(73)base   Geo-2  00303.011340312213040000031!5, diff = 0
(74)base   Geo-2  00304.011340312213040000031!5, diff = 0
(75)base   Geo-2  00310.102300312213040000021!5, diff = 0
...
(2687)base   Geo-2  44231.2142202004131431042!5, diff = 0
(2688)base   Geo-2  44232.2142202004131431042!5, diff = 0
(2689)base   Geo-2  44233.2142202004131431042!5, diff = 0
(2690)base   Geo-2  44234.2142202004131431042!5, diff = 0
(2691)base   Geo-2  44240.3102202004131431042!5, diff = 0
(2692)base   Geo-2  44241.3102202004131431042!5, diff = 0
(2693)base   Geo-2  44242.3102202004131431042!5, diff = 0
(2694)base   Geo-2  44243.3102202004131431042!5, diff = 0
(2695)base   Geo-2  44300.3102202004131431102!5, diff = 0
(2696)base   Geo-2  44301.3102202004131431102!5, diff = 0
(2697)base   Geo-2  44302.3102202004131431102!5, diff = 0
(2698)base   Geo-2  44303.3102202004131431102!5, diff = 0
(2699)base   Geo-2  44304.3102202004131431102!5, diff = 0
(2700)base   Geo-2  44310.4011242004131431102!5, diff = 0
(2701)base   Geo-2  44311.4011242004131431102!5, diff = 0
(2702)base   Geo-2  44312.4011242004131431102!5, diff = 0
(2703)base   Geo-2  44313.4011242004131431102!5, diff = 0
(2704)base   Geo-2  44320.0011242004131431102!5, diff = 0
(2705)base   Geo-2  44321.0011242004131431102!5, diff = 0
(2706)base   Geo-2  44322.0011242004131431102!5, diff = 0
(2707)base   Geo-2  44323.0011242004131431102!5, diff = 0
(2708)base   Geo-2  44324.0011242004131431102!5, diff = 0
(2709)base   Geo-2  44330.0411242004131431102!5, diff = 0
(2710)base   Geo-2  44331.0411242004131431102!5, diff = 0
(2711)base   Geo-2  44332.0411242004131431102!5, diff = 0
(2712)base   Geo-2  44333.0411242004131431102!5, diff = 0
(2713)base   Geo-2  44334.0411242004131431102!5, diff = 0
(2714)base   Geo-2  44340.1320332404131431112!5, diff = 0
(2715)base   Geo-2  44341.1320332404131431112!5, diff = 0
(2716)base   Geo-2  44342.1320332404131431112!5, diff = 0
(2717)base   Geo-2  44343.1320332404131431112!5, diff = 0
(2718)base   Geo-2  !50000.1320332404131431112!5, diff = 0
(2719)base   Geo-2  !50001.1320332404131431112!5, diff = 0
(2720)base   Geo-2  !50002.1320332404131431112!5, diff = 0
(2721)base   Geo-2  !50003.1320332404131431112!5, diff = 0
(2722)base   Geo-2  !50004.1320332404131431112!5, diff = 0
(2723)base   Geo-2  !50010.2224332404131431112!5, diff = 0
(2724)base   Geo-2  !50011.2224332404131431112!5, diff = 0
(2725)base   Geo-2  !50012.2224332404131431112!5, diff = 0
(2726)base   Geo-2  !50013.2224332404131431112!5, diff = 0
(2727)base   Geo-2  !50014.2224332404131431112!5, diff = 0
Base Geo-2 encoding for Phi    00001.243300433000201331003242!5, diff = 0
Base Geo-2 encoding for Phi^2  00002.24330043300020133100331!5, diff = 0
Base Geo-2 encoding for Phi^3  00004.10311103104040322201222!5, diff = 0
Base Geo-2 encoding for Phi^4  00012.00241202404111420342142!5, diff = 0
Base Geo-2 encoding for Phi^5  00021.20203220204203212143344!5, diff = 0
Base Geo-2 encoding for Phi^6  00033.2101002312301114214201!5, diff = 0
Base Geo-2 encoding for E      00002.32111041233200113233021!5, diff = 0
Base Geo-2 encoding for E^2    00012.23143420202423011002102!5, diff = 0
Base Geo-2 encoding for E^E    00030.31022402421104210031124!5, diff = 0
Base Geo-2 encoding for PI     00003.03120420203301332123441!5, diff = 0
Base Geo-2 encoding for SQRT2  00001.200000000000000000000002!5, diff = 0
Base Geo-2 encoding for SQRT3  00001.322341312433001001220342!5, diff = 0
Base Geo-2 encoding for SQRT5  00002.10311103104040322201221!5, diff = 0
Base Geo-2 encoding for SQRT6  00002.20343123210120120203023!5, diff = 0
Base Geo-2 encoding for 5dot9  00011.01310214214214214214232!5, diff = 0
Base Geo-2 encoding for 6dot9  00012.01310214214214214214232!5, diff = 0
Base Geo-2 encoding for m235   00002.31020140122314124322021!5, diff = 0
Base Geo-2 encoding for Geo2   00001.100000000000000000000002!5, diff = 0
Base Geo-2 encoding for Geo-2  00010.00000000000000000000002!5, diff = 0
Base Geo-2 encoding for Geo3   00001.133142401413420220330142!5, diff = 0
Base Geo-2 encoding for Geo-3  00002.32234131243300100122041!5, diff = 0
Base Geo-2 encoding for Geo7   00001.343134201000143110124242!5, diff = 0
Base Geo-2 encoding for Geo-7  00001.100420113242422321231212!5, diff = 0
Base Geo-2 encoding for 7dot9  00013.01310214214214214214232!5, diff = 0
